FAMILY	GENUS	SPECIES	CAAB CODE
Gobiidae	Eviota	inutilis	37428123
Gobiidae	Eviota	queenslandica	37428131
Serranidae	Epinephelus	insularis	37311059
Serranidae	Epinephelus	timorensis	37311073
Syngnathidae	Urocampus	carinirostris	37282008
Narcinidae	Narcinops	westraliensis	37028005
Muraenidae	Gymnothorax	favagineus	37060016
Arhynchobatidae	Pavoraja	alleni	37031027
Argentinidae	Glossanodon	pseudolineatus	37097005
Carangidae	Caranx	bucculentus	37337016
Leiognathidae	Aurigequula	longispinis	37341004
Labridae	Pictilabrus	viridis	37384141
Blenniidae	Cirripectes	alleni	37408095
Gigantactinidae	Gigantactis	paxtoni	37217001
Apogonidae	Ostorhinchus	pallidofasciatus	37327071
Monacanthidae	Meuschenia	freycineti	37465036
Trichiuridae	Tentoriceps	cristatus	37440006
Apogonidae	Fowleria	variegata	37327101
Myctophidae	Bolinichthys	photothorax	37122027
Neosebastidae	Neosebastes	pandus	37287003
Pentanchidae	Galeus	gracilis	37015008
Acanthuridae	Naso	lituratus	37437029
Synanceiidae	Dampierosa	daruma	37287052
Exocoetidae	Cheilopogon	intermedius	37233020
Gobiidae	Boleophthalmus	caeruleomaculatus	37428073
Gempylidae	Tongaichthys	robustus	37439018
Macrouridae	Coelorinchus	macrorhynchus	37232110
Gobiidae	Fusigobius	gracilis	37428338
Gobiesocidae	Alabes	occidentalis	37206034
Scombridae	Scomber	australasicus	37441001
Apogonidae	Ostorhinchus	atrogaster	37327044
Melanostomiidae	Eustomias	multifilis	37109017
Sebastidae	Trachyscorpia	eschmeyeri	37287046
Plesiopidae	Fraudella	carassiops	37316006
Bothidae	Engyprosopon	hureaui	37460067
Chauliodontidae	Chauliodus	sloani	37111001
Serranidae	Pseudanthias	ventralis	37311128
Mugilidae	Liza	tade	37381026
Paralichthyidae	Pseudorhombus	triocellatus	37460065
Antennariidae	Lophiocharon	trisignatus	37210007
Myctophidae	Notoscopelus	caudispinosus	37122070
Gobiidae	Luposicya	lupus	37428186
Pinguipedidae	Parapercis	binivirgata	37390012
Carangidae	Platycaranx	chrysophrys	37337011
Astronesthidae	Astronesthes	kreffti	37108019
Muraenidae	Gymnothorax	robinsi	37060079
Macrouridae	Nezumia	leucoura	37232088
Gobiidae	Nesogobius	hinsbyi	37428006
Gobiidae	Gnatholepis	argus	37428344
Ophidiidae	Sirembo	metachroma	37228038
Gobiidae	Arcygobius	baliurus	37428384
Clupeidae	Sardinella	brachysoma	37085028
Congridae	Bathyuroconger	vicinus	37067033
Monacanthidae	Rudarius	excelsus	37465075
Echeneidae	Remora	australis	37336004
Monacanthidae	Meuschenia	australis	37465008
Labridae	Oxycheilinus	unifasciatus	37384068
Lutjanidae	Lutjanus	malabaricus	37346007
Ophidiidae	Lamprogrammus	niger	37228073
Tetraodontidae	Canthigaster	compressa	37467067
Blenniidae	Petroscirtes	xestus	37408091
Congiopodidae	Congiopodus	leucopaecilus	37298001
Pomacentridae	Chromis	lineata	37372046
Liparidae	Paraliparis	lasti	37307027
Alepocephalidae	Leptoderma	affine	37114039
Siganidae	Siganus	doliatus	37438009
Bothidae	Grammatobothus	polyophthalmus	37460010
Labridae	Scarus	ghobban	37386001
Etmopteridae	Etmopterus	bigelowi	37020027
Liparidae	Paraliparis	hobarti	37307023
Rajidae	Dipturus	melanospilus	37031033
Gobiidae	Glossogobius	circumspectus	37428027
Chaetodontidae	Chaetodon	ulietensis	37365060
Astronesthidae	Heterophotus	ophistoma	37108012
Muraenidae	Enchelycore	bayeri	37060026
Bothidae	Engyprosopon	bleekeri	37460050
Scorpaenidae	Neomerinthe	procurva	37287057
Acanthuridae	Naso	caeruleacauda	37437045
Gobiidae	Drombus	simulus	37428368
Gobiidae	Priolepis	kappa	37428377
Moridae	Gadella	macrura	37224028
Ammodytidae	Bleekeria	viridianguilla	37425002
Percophidae	Bembrops	philippinus	37393001
Carangidae	Platycaranx	talamparoides	37337043
Lutjanidae	Lutjanus	gibbus	37346028
Myctophidae	Gymnoscopelus	microlampas	37122106
Bothidae	Laeops	parviceps	37460022
Ophiclinidae	Ophiclinus	brevipinnis	37414009
Nemipteridae	Scolopsis	margaritifera	37347033
Ophidiidae	Monomitopus	garmani	37228078
Neosebastidae	Neosebastes	bougainvillii	37287004
Gobiidae	Cryptocentrus	strigilliceps	37428105
Gempylidae	Nealotus	tripes	37439011
Pomacanthidae	Pomacanthus	navarchus	37365079
Myctophidae	Ctenoscopelus	phengodes	37122003
Pseudochromidae	Pseudoplesiops	howensis	37313020
Scorpaenidae	Scorpaena	jacksoniensis	37287066
Labridae	Cirrhilabrus	randalli	37384186
Eleotridae	Giuris	aporocephalus	37429010
Acanthuridae	Naso	lopezi	37437030
Bembridae	Bembras	longipinnis	37296026
Macrouridae	Coryphaenoides	subserrulatus	37232016
Malacanthidae	Hoplolatilus	cuniculus	37331007
Syngnathidae	Hippocampus	zebra	37282080
Pomacentridae	Chromis	iomelas	37372043
Myctophidae	Loweina	rara	37122098
Blenniidae	Salarias	guttatus	37408078
Alepisauridae	Alepisaurus	ferox	37128001
Microdesmidae	Aioliops	tetrophthalmus	37435002
Urolophidae	Urolophus	circularis	37038020
Macrouridae	Coelorinchus	obscuratus	37232129
Pomacanthidae	Chaetodontoplus	ballinae	37365063
Phosichthyidae	Ichthyococcus	intermedius	37106023
Sphyraenidae	Sphyraena	obtusata	37382007
Bramidae	Taractichthys	steindachneri	37342015
Muraenidae	Gymnothorax	intesi	37060076
Gobiidae	Bryaninops	erythrops	37428076
Serranidae	Hyporthodus	ergastularius	37311147
Gobiidae	Trimma	nasa	37428390
Pomacentridae	Chrysiptera	brownriggii	37372064
Lutjanidae	Paracaesio	sordida	37346070
Hemiramphidae	Hyporhamphus	dussumieri	37234008
Bothidae	Psettina	senta	37460061
Muraenidae	Gymnothorax	atolli	37060030
Mullidae	Parupeneus	crassilabris	37355023
Synodontidae	Synodus	rubromarmoratus	37118025
Muraenidae	Gymnothorax	javanicus	37060039
Syngnathidae	Corythoichthys	conspicillatus	37282032
Gobiidae	Gobiodon	fuscoruber	37428372
Epigonidae	Sphyraenops	bairdianus	37327169
Myctophidae	Diaphus	splendidus	37122040
Myctophidae	Diaphus	fragilis	37122034
Triglidae	Pterygotrigla	elicryste	37288009
Sciaenidae	Atractoscion	atelodus	37354020
Apogonidae	Apogon	semiornatus	37327074
Apogonidae	Cheilodipterus	singapurensis	37327091
Exocoetidae	Cheilopogon	pinnatibarbatus	37233008
Exocoetidae	Hirundichthys	speculiger	37233015
Aracanidae	Kentrocapros	flavofasciatus	37466023
Congridae	Congriscus	maldivensis	37067039
Labridae	Pictilabrus	laticlavius	37384020
Scorpaenidae	Scorpaenopsis	eschmeyeri	37287127
Paralepididae	Stemonosudis	elegans	37126009
Clupeidae	Nematalosa	come	37085016
Gobiidae	Fusigobius	melacron	37428366
Anguillidae	Anguilla	bicolor	37056003
Opistognathidae	Opistognathus	rufilineatus	37388019
Pinguipedidae	Parapercis	snyderi	37390018
Congridae	Conger	cinereus	37067015
Siganidae	Siganus	puellus	37438011
Pinguipedidae	Parapercis	stricticeps	37390019
Tripterygiidae	Enneapterygius	namarrgon	37415043
Carangidae	Decapterus	macarellus	37337055
Psychrolutidae	Psychrolutes	marcidus	37305001
Gobiidae	Gobiodon	axillaris	37428156
Opistognathidae	Opistognathus	macrolepis	37388013
Ephippidae	Platax	orbicularis	37362007
Zeidae	Cyttopsis	cypho	37264009
Eleotridae	Bostrychus	zonatus	37429012
Acanthuridae	Acanthurus	triostegus	37437019
Gobiidae	Stonogobiops	xanthorhinica	37428253
Berycidae	Centroberyx	lineatus	37258005
Gobiesocidae	Kopua	nuimata	37206039
Pteroidae	Pterois	russelii	37287012
Macrouridae	Nezumia	propinqua	37232067
Synodontidae	Synodus	houlti	37118024
Bovichtidae	Bovichtus	angustifrons	37403001
Syngnathidae	Hippocampus	procerus	37282122
Syngnathidae	Cosmocampus	darrosanus	37282054
Diodontidae	Cyclichthys	spilostylus	37469003
Alopiidae	Alopias	pelagicus	37012003
Callionymidae	Repomucenus	macdonaldi	37427023
Nemipteridae	Nemipterus	balinensis	37347039
Macrouridae	Coelorinchus	mirus	37232003
Squalidae	Squalus	edmundsi	37020046
Diceratiidae	Diceratias	trilobus	37214002
Platytroctidae	Normichthys	yahganorum	37115007
Somniosidae	Zameus	squamulosus	37020042
Pomacentridae	Amphiprion	akindynos	37372020
Neosebastidae	Maxillicosta	raoulensis	37287124
Lophiidae	Lophiodes	triradiatus	37208002
Zeniontidae	Zenion	japonicum	37263001
Nemipteridae	Nemipterus	bathybius	37347001
Citharidae	Citharoides	macrolepis	37458005
Macrouridae	Coelorinchus	australis	37232001
Macrouridae	Coelorinchus	supernasutus	37232116
Squalidae	Squalus	chloroculus	37020048
Chaetodontidae	Chaetodon	trifasciatus	37365094
Apogonidae	Ostorhinchus	nigrofasciatus	37327068
Synodontidae	Saurida	gracilis	37118013
Chaetodontidae	Chaetodon	melannotus	37365043
Carangidae	Carangichthys	oblongus	37337069
Chaetodontidae	Chaetodon	ocellicaudus	37365046
Clupeidae	Herklotsichthys	collettei	37085031
Urolophidae	Trygonoptera	mucosa	37038015
Serranidae	Cephalopholis	igarashiensis	37311193
Congridae	Gnathophis	longicauda	37067002
Bregmacerotidae	Bregmaceros	pseudolanceolatus	37225007
Labridae	Pseudojuloides	severnsi	37384209
Serranidae	Saloptia	powelli	37311174
Serranidae	Epinephelus	bilobatus	37311062
Microdesmidae	Parioglossus	marginalis	37435011
Myctophidae	Electrona	carlsbergi	37122104
Platycephalidae	Platycephalus	endrachtensis	37296021
Priacanthidae	Priacanthus	tayenus	37326003
Chimaeridae	Chimaera	lignaria	37042008
Caracanthidae	Caracanthus	unipinna	37289002
Tetraodontidae	Sphoeroides	pachygaster	37467004
Exocoetidae	Cheilopogon	furcatus	37233001
Gempylidae	Rexea	prometheoides	37439006
Gobiidae	Amblyeleotris	callopareia	37428032
Serranidae	Epinephelus	howlandi	37311148
Caesionidae	Pterocaesio	pisang	37346062
Tetraodontidae	Canthigaster	callisterna	37467038
Labridae	Scarus	longipinnis	37386019
Platycephalidae	Inegocia	japonica	37296029
Triakidae	Galeorhinus	galeus	37017008
Clupeidae	Herklotsichthys	castelnaui	37085023
Sphyraenidae	Sphyraena	qenie	37382009
Gobiidae	Trimma	striatum	37428271
Sparidae	Dentex	spariformis	37353002
Nemipteridae	Nemipterus	peronii	37347003
Pomacentridae	Amblyglyphidodon	aureus	37372016
Siganidae	Siganus	javus	37438005
Pomacentridae	Chromis	cinerascens	37372039
Blenniidae	Parablennius	postoculomaculatus	37408068
Champsodontidae	Champsodon	nudivittis	37401001
Champsodontidae	Champsodon	atridorsalis	37401006
Balistidae	Rhinecanthus	rectangulus	37465073
Scombridae	Scomberomorus	munroi	37441015
Triglidae	Bovitrigla	leptacanthus	37288014
Microdesmidae	Ptereleotris	uroditaenia	37435021
Champsodontidae	Champsodon	pantolepis	37401008
Blenniidae	Meiacanthus	ditrema	37408052
Labridae	Coris	picta	37384095
Chaetodontidae	Chelmonops	truncatus	37365001
Muraenidae	Gymnothorax	fimbriatus	37060035
Gobiidae	Boleophthalmus	birdsongi	37428072
Centrolophidae	Seriolella	brama	37445005
Carcharhinidae	Carcharhinus	coatesi	37018009
Engraulidae	Thryssa	baelama	37086018
Gobiidae	Apocryptodon	wirzi	37428205
Pseudochromidae	Assiculus	punctatus	37313012
Apogonidae	Fowleria	marmorata	37327099
Serranidae	Pseudanthias	pleurotaenia	37311123
Nemichthyidae	Nemichthys	scolopaceus	37076005
Pomacanthidae	Chaetodontoplus	duboulayi	37365009
Myctophidae	Lampadena	chavesi	37122093
Latridae	Latridopsis	forsteri	37378002
Latridae	Mendosoma	lineatum	37378004
Bathylagidae	Bathylagus	antarcticus	37098002
Apogonidae	Siphamia	tubulata	37327118
Apogonidae	Vincentia	macrocauda	37327122
Cirrhitidae	Cirrhitichthys	falco	37374003
Cirrhitidae	Cirrhitichthys	oxycephalus	37374004
Pleuronectidae	Ammotretis	brevipinnis	37461016
Nemipteridae	Pentapodus	paradiseus	37347028
Harpadontidae	Harpadon	translucens	37119001
Gobiidae	Tasmanogobius	lordi	37428010
Scyliorhinidae	Atelomycterus	fasciatus	37015005
Hexanchidae	Hexanchus	griseus	37005005
Tetraodontidae	Torquigener	altipinnis	37467056
Pristidae	Pristis	pristis	37025003
Rajidae	Dentiraja	australis	37031002
Ophiclinidae	Ophiclinus	pectoralis	37414010
Syngnathidae	Stigmatopora	argus	37282017
Narcinidae	Narcinops	lasti	37028004
Apogonidae	Ostorhinchus	cookii	37327050
Congridae	Heteroconger	hassi	37067017
Mugilidae	Liza	ordensis	37381014
Plesiopidae	Trachinops	caudimaculatus	37316001
Clupeidae	Spratelloides	robustus	37085003
Carapidae	Pyramodon	punctatus	37229011
Chaetodontidae	Chaetodon	oxycephalus	37365048
Gobiidae	Pseudogobius	olorum	37428009
Apogonidae	Apogonichthyoides	timorensis	37327077
Serranidae	Plectranthias	alleni	37311105
Scorpaenidae	Scorpaenodes	albaiensis	37287073
Myctophidae	Lampanyctus	festivus	37122050
